-15.0,9.420203e-07,0.0
-14.0,9.267345e-07,0.0
-13.0,9.178825e-07,0.0
-12.0,9.259284e-07,0.0
-11.0,9.464504e-07,0.0
-10.0,9.774045e-07,0.0
-9.0,1.047949e-06,0.0
-8.0,1.166268e-06,0.0
-7.0,1.449622e-06,0.0
-6.0,2.077383e-06,0.0
-5.0,3.409294e-06,0.0
-4.0,3.44238e-06,0.0
-3.0,1.434958e-06,0.0
-2.0,1.018968e-06,0.0
-1.0,1.131589e-06,0.0
0.0,1.517766e-06,0.0
1.0,2.17912e-06,0.0
2.0,1.760446e-06,0.0
3.0,1.388143e-06,0.0
4.0,1.177679e-06,0.0
5.0,1.062434e-06,0.0
6.0,3.057981e-06,0.0
7.0,3.787786e-06,0.0
8.0,2.861319e-06,0.0
9.0,1.851425e-06,0.0
10.0,1.328898e-06,0.0
11.0,1.117669e-06,0.0
12.0,1.013283e-06,0.0
13.0,9.772934e-07,0.0
14.0,9.729404e-07,0.0
15.0,9.589505e-07,0.0
